date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:24	113/113	---M-Z	200	added ('OK')	text/plain	date:Fri,%2006%20Dec%202024%2010:50:20%20GMT	https://gtkit.rometheme.pro/robots.txt		(from )
16:20:26	170201/170201	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Dec%202024%2010:50:20%20GMT	https://gtkit.rometheme.pro/garmen/	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/index.html	(from )
16:20:26	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2006%20Dec%202024%2010:50:22%20GMT	https://gtkit.rometheme.pro/garmen/xmlrpc.php	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/xmlrpc.php	(from https://gtkit.rometheme.pro/garmen/)
16:20:27	1130/1130	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Aug%202024%2009:43:26%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/template-kit-export/assets/public/template-kit-export-public.css?ver=1.0.23	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/template-kit-export/assets/public/template-kit-export-public982a.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:27	38415/38415	---MCZ	200	added ('OK')	application/rss+xml	etag:%22cf618c1ea7100feccce7103dc92f3109%22	https://gtkit.rometheme.pro/garmen/feed/	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/feed/index.html	(from https://gtkit.rometheme.pro/garmen/)
16:20:28	731/731	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cf618c1ea7100feccce7103dc92f3109%22	https://gtkit.rometheme.pro/garmen/comments/feed/	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/comments/feed/index.html	(from https://gtkit.rometheme.pro/garmen/)
16:20:28	2438/2438	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/offcanvas.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/offcanvas6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:28	304/304	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/navmenu.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/navmenu6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:29	147/147	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/headerinfo.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/headerinfo6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:29	7349/7349	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-navmenu.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-navmenu6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:29	587/587	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/search.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/search6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:30	110/110	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/site_logo.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/site_logo6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:30	3186/3186	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-blog-post.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-blog-post6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:30	3216/3216	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-post-block.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/rkit-post-block6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
16:20:31	3723/3723	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2011:24:36%20GMT	https://gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/cta.css?ver=1.5.2	C:/Users/SURES/Desktop/Sai%20Sports/Sai%20Sports/gtkit.rometheme.pro/garmen/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/cta6bc5.css	(from https://gtkit.rometheme.pro/garmen/)
